EX_but(e)	1.865731619386157
EX_octa(e)	0.5237302160910873
EX_dca(e)	1.1917781902839424
EX_ddca(e)	1.0606603388293
EX_ttdca(e)	2.978057115713639
EX_hdca(e)	8.238321703291218
EX_ocdca(e)	2.5318438363519435
EX_hdcea(e)	0.46093078816402355
EX_ocdcea(e)	6.0745402258420045
EX_CE2510(e)	0.06881921096351419
EX_lnlc(e)	2.7390740326548877
EX_arachd(e)	0.03624873088250172
EX_clpnd(e)	0.01669215001569062
EX_chsterol(e)	0.1034517985741756
EX_ca2(e)	18.7609162133839
EX_fe2(e)	0.05363953800698362
EX_fe3(e)	0.05363953800698362
EX_mg2(e)	4.254268668998148
EX_pi(e)	7.75688091077972
EX_k(e)	33.51296603688651
EX_na1(e)	72.26692794369792
EX_zn2(e)	0.050688283878862046
EX_cu2(e)	0.0033629182009882602
EX_h2o(e)	43473.207188564375
EX_ascb_L(e)	0.08440110052639334
EX_thm(e)	0.0007917707098350657
EX_ribflv(e)	0.004237919736722889
EX_nac(e)	0.012597715834776807
EX_ncam(e)	0.012595332963219534
EX_pydam(e)	0.0016101165674749754
EX_pydx(e)	0.0016297563640859365
EX_pydxn(e)	0.0016103373689298085
EX_5mthf(e)	0.00009232237730830484
EX_fol(e)	0.00009610810430312258
EX_thf(e)	0.00009545270744021437
EX_chol[e]	1.1845929953499448
EX_adpcbl(e)	0.000001835928978163714
EX_retinol(e)	0.001656126200726406
EX_caro(e)	0.00020712548936190818
EX_avite1(e)	0.0009565687599966662
EX_phyQ(e)	0.0001909714248438581
EX_glc_D(e)	5.41753003926044
EX_fru(e)	28.841686561472592
EX_lcts(e)	51.50797627203317
EX_gal(e)	24.42329116060035
EX_ptdca(e)	0.3260289589940909
EX_hpdca(e)	0.18074343821524946
EX_arach(e)	0.030495389578601872
EX_ttdcea(e)	0.29687535362114703
EX_lnlnca(e)	0.12039433108513142
EX_mn2(e)	0.005808361036509397
EX_pnto_R(e)	0.010384141284075757
EX_vitd3(e)	0.000006499622891879814
EX_trp_L(e)	0.21887602509386697
EX_thr_L(e)	2.4429311143795456
EX_ile_L(e)	2.8656833842966036
EX_leu_L(e)	5.23050111722772
EX_lys_L(e)	4.184231175545448
EX_met_L(e)	1.3511041053861201
EX_phe_L(e)	2.2864704753521874
EX_tyr_L(e)	1.899127152109543
EX_val_L(e)	4.865710654113702
EX_arg_L(e)	1.4023260233926473
EX_his_L(e)	1.1369305196236528
EX_ala_D[e]	1.7257209304413805
EX_ala_L(e)	1.7257209304413805
EX_asp_D[e]	2.2665557361498987
EX_asp_L(e)	2.2665557361498987
EX_glu_L(e)	10.074506591441494
EX_gly(e)	2.3499132770100153
EX_pro_D[e]	3.5073242972105567
EX_pro_L(e)	3.5073242972105567
EX_ser_L(e)	4.184880762299153
EX_sucr(e)	19.41299429003802
EX_malt(e)	0
EX_docosac(e)	0
EX_lgnc(e)	0
EX_CE4843(e)	0
EX_starch1200(e)	0
EX_strch1(e)	0
EX_strch2[e]	0
