flux,dilution,metabolite,reaction,global_id
0.1,0.1,pydx_m,EX_pydx_m,EX_pydx(e)
0.1,0.1,pydam_m,EX_pydam_m,EX_pydam(e)
0.1,0.1,fol_m,EX_fol_m,EX_fol(e)
0.1,0.1,adpcbl_m,EX_adpcbl_m,EX_adpcbl(e)
0.1,0.1,pheme_m,EX_pheme_m,EX_pheme(e)
0.1,0.1,cbl1_m,EX_cbl1_m,EX_cbl1(e)
0.1,0.1,chol_m,EX_chol_m,EX_chol(e)
0.1,0.1,h2s_m,EX_h2s_m,EX_h2s(e)
0.1,0.1,so4_m,EX_so4_m,EX_so4(e)
0.1,0.1,spmd_m,EX_spmd_m,EX_spmd(e)
0.1,0.1,na1_m,EX_na1_m,EX_na1(e)
0.1,0.1,ca2_m,EX_ca2_m,EX_ca2(e)
0.1,0.1,cobalt2_m,EX_cobalt2_m,EX_cobalt2(e)
0.1,0.1,cl_m,EX_cl_m,EX_cl(e)
0.1,0.1,k_m,EX_k_m,EX_k(e)
0.1,0.1,fe2_m,EX_fe2_m,EX_fe2(e)
0.1,0.1,fe3_m,EX_fe3_m,EX_fe3(e)
0.1,0.1,fe3dcit_m,EX_fe3dcit_m,EX_fe3dcit(e)
0.1,0.1,mg2_m,EX_mg2_m,EX_mg2(e)
0.1,0.1,mn2_m,EX_mn2_m,EX_mn2(e)
0.1,0.1,mobd_m,EX_mobd_m,EX_mobd(e)
0.1,0.1,cu2_m,EX_cu2_m,EX_cu2(e)
0.1,0.1,zn2_m,EX_zn2_m,EX_zn2(e)
0.1,0.1,sel_m,EX_sel_m,EX_sel(e)
0.1,0.1,pime_m,EX_pime_m,EX_pime(e)
0.1,0.1,mqn8_m,EX_mqn8_m,EX_mqn8(e)
0.1,0.1,12dgr180_m,EX_12dgr180_m,EX_12dgr180(e)
0.1,0.1,26dap_M_m,EX_26dap_M_m,EX_26dap_M(e)
0.1,0.1,2obut_m,EX_2obut_m,EX_2obut(e)
0.1,0.1,3mop_m,EX_3mop_m,EX_3mop(e)
0.1,0.1,4hbz_m,EX_4hbz_m,EX_4hbz(e)
0.1,0.1,ac_m,EX_ac_m,EX_ac(e)
0.1,0.1,acgam_m,EX_acgam_m,EX_acgam(e)
0.1,0.1,acnam_m,EX_acnam_m,EX_acnam(e)
0.1,0.1,acmana_m,EX_acmana_m,EX_acmana(e)
0.1,0.1,ade_m,EX_ade_m,EX_ade(e)
0.1,0.1,adn_m,EX_adn_m,EX_adn(e)
0.1,0.1,ala_D_m,EX_ala_D_m,EX_ala_D(e)
0.1,0.1,arab_D_m,EX_arab_D_m,EX_arab_D(e)
0.1,0.1,cgly_m,EX_cgly_m,EX_cgly(e)
0.1,0.1,chor_m,EX_chor_m,EX_chor(e)
